date:iso,datetime:iso,datetime:rss,datetime:unix,description,feature_image,feature_image:height,feature_image:width,id,label,month:iso,source,tags,title
2014-03-26,2014-03-26T09:30:00+00:00,"Wed, 26 Mar 2014 09:30:00 GMT",1395826200,The light bulb's components can separate and pieces can fall.,http://www.cpsc.gov/Global/Images/Recall/2014/14141/Images%20with%20description%20THUMBNAIL.jpg,63,87,9f97967428181f663941e4a52ba9ab1670dc549c,SATCO Products Recalls KolourOne LED Light Bulbs Due to Risk of Injury,2014-03,http://www.cpsc.gov/en/Recalls/2014/SATCO-Products-Recalls-KolourOne-LED-Light-Bulbs/,"[u'injury', u'risk', u'products']",SATCO Products Recalls KolourOne LED Light Bulbs Due to Risk of Injury
2014-03-25,2014-03-25T15:30:00+00:00,"Tue, 25 Mar 2014 15:30:00 GMT",1395761400,Two reported roof fires originated in or near the recalled Open Energy SolarSave Roofing Tiles. The OE-34 model solar panels were installed in homes built and sold by Centex Homes.,http://www.cpsc.gov/Global/Images/Recall/2014/14138/SolarSave%20room%20panel_SMALL.jpg,63,87,e1e8ee81e07f88978b5edbf109ec22296783edbc,Centex Homes Recalls Solar Panels Due to Fire Hazard,2014-03,http://www.cpsc.gov/en/Recalls/2014/Centex-Homes-Recalls-Solar-Panels/,"[u'fire', u'hazard']",Centex Homes Recalls Solar Panels Due to Fire Hazard
2014-03-25,2014-03-25T14:30:00+00:00,"Tue, 25 Mar 2014 14:30:00 GMT",1395757800,"The cord bushing inside the work light's base could fail, allowing the cord wiring to pull off of the base, exposing bare wire.",http://www.cpsc.gov/Global/Images/Recall/2014/14139/LEDlight133x97.jpg,63,87,f6d449de38d53d559ae802b622d12df20ed3630f,Ace Hardware Recalls LED Clamp Light Due to Shock and Fire Hazard,2014-03,http://www.cpsc.gov/en/Recalls/2014/Ace-Hardware-Recalls-LED-Clamp-Light/,"[u'fire', u'hazard', u'shock']",Ace Hardware Recalls LED Clamp Light Due to Shock and Fire Hazard
2014-03-25,2014-03-25T13:30:00+00:00,"Tue, 25 Mar 2014 13:30:00 GMT",1395754200,"The circuit board in the chest of the electronic my sweet love/ my sweet baby cuddle care dolls can overheat, causing the doll to get hot.",http://www.cpsc.gov/Global/Images/Recall/2014/14140/WM-Doll-2%20THUMBNAIL.jpg,63,87,0cad8572f9f677add8297e49c44ab9f64432fc02,Wal-Mart Recalls Dolls Due to Burn Hazard,2014-03,http://www.cpsc.gov/en/Recalls/2014/Wal-Mart-Recalls-Dolls/,"[u'burn', u'hazard']",Wal-Mart Recalls Dolls Due to Burn Hazard
2014-03-20,2014-03-20T15:00:00+00:00,"Thu, 20 Mar 2014 15:00:00 GMT",1395327600,A child can get tangled at the neck in the canopy's 7-foot long mesh fabric.,http://www.cpsc.gov/Global/Images/Recall/2014/14137/HIMMELBlue133x97.jpg,63,87,5ed3d84cf438349e095cca387d2efd56d71b7d13,IKEA Recalls Children's Bed Canopies Due to Strangulation Hazard,2014-03,http://www.cpsc.gov/en/Recalls/2014/IKEA-Recalls-Childrens-Bed-Canopies/,"[u'children', u'strangulation', u'hazard']",IKEA Recalls Children's Bed Canopies Due to Strangulation Hazard
2014-03-20,2014-03-20T12:00:00+00:00,"Thu, 20 Mar 2014 12:00:00 GMT",1395316800,A protruding corner post on the bunk bed exceeds the 5mm allowed by industry standard. The beds were sold at BunkBedKing.com.,http://www.cpsc.gov/Global/Images/Recall/2014/14725/expresso-951sl%20THUMBNAIL.jpg,63,87,34fb9001312c43e00d0f8ec3a99441634d14ea43,Bedz King Recalls Bunk Beds with Side Ladder Due To Entrapment Hazard (Recall Alert),2014-03,http://www.cpsc.gov/en/Recalls/Recall-Alerts/2014/Bedz-King-Recalls-Bunk-Beds-with-Side-Ladder/,"[u'hazard', u'alert', u'entrapment']",Bedz King Recalls Bunk Beds with Side Ladder Due To Entrapment Hazard (Recall Alert)
2014-03-20,2014-03-20T10:30:00+00:00,"Thu, 20 Mar 2014 10:30:00 GMT",1395311400,The paint on the toys contains excessive levels of lead.,http://www.cpsc.gov/Global/Images/Recall/2014/14136/Thumb-14136%20Minga%20wooden%20toy%20SMALL.jpg,63,87,e84fefa3ec29d6f54aa0bbc9f07ef03db6f0eb16,Minga Fair Trade Imports Recalls Wooden Flipping Acrobat Toys Due to Violation of Lead Paint Standard,2014-03,http://www.cpsc.gov/en/Recalls/2014/Minga-Fair-Trade-Imports-Recalls-Wooden-Flipping-Acrobat-Toys/,"[u'violation', u'toys', u'standard']",Minga Fair Trade Imports Recalls Wooden Flipping Acrobat Toys Due to Violation of Lead Paint Standard
2014-03-19,2014-03-19T11:30:00+00:00,"Wed, 19 Mar 2014 11:30:00 GMT",1395228600,The eyes on the recalled lying and sitting Grumpy Cat plush toys and on a Grumpy Cat key chain can detach.,http://www.cpsc.gov/Global/Images/Recall/2014/14135/HGC12974THUMB.jpg,63,87,c15692f197c0ac60d4d13c67144f4021c336c6ef,Ganz Recalls Grumpy Cat Stuffed Animal Toys Due to Choking Hazard,2014-03,http://www.cpsc.gov/en/Recalls/2014/Ganz-Recalls-Grumpy-Cat-Stuffed-Animal-Toys/,"[u'toys', u'choking', u'hazard']",Ganz Recalls Grumpy Cat Stuffed Animal Toys Due to Choking Hazard
2014-03-19,2014-03-19T09:30:00+00:00,"Wed, 19 Mar 2014 09:30:00 GMT",1395221400,The pom-pom tail can detach from the body of the bear rattle and the bunny.,http://www.cpsc.gov/Global/Images/Recall/2014/14132/Bear%20Ring%20RattleTHUMB.jpg,63,87,eb57be00c8c252c9f0bee81dd41fd95b778a3ebd,Vera Bradley Recalls Bear Ring Rattles and Bunny Toys Due to Choking Hazard,2014-03,http://www.cpsc.gov/en/Recalls/2014/Vera-Bradley-Recalls-Bear-Ring-Rattles-and-Bunny-Toys/,"[u'toys', u'choking', u'hazard']",Vera Bradley Recalls Bear Ring Rattles and Bunny Toys Due to Choking Hazard
2014-03-18,2014-03-18T16:30:00+00:00,"Tue, 18 Mar 2014 16:30:00 GMT",1395160200,This recall involves two-seat 2014 Arctic Cat Prowler 500 HDX recreational off-highway vehicles.,http://www.cpsc.gov/Global/Images/Recall/2014/14724/Prowler500HDX_Red_2014THUMB.jpg,63,87,df685834ed31a6cb72daf9d5baa2fd83cff89102,Arctic Cat Recalls Off-Highway Utility Vehicles Due to Fuel Leak and Fire Hazard (Recall Alert),2014-03,http://www.cpsc.gov/en/Recalls/Recall-Alerts/2014/Arctic-Cat-Recalls-Off-Highway-Utility-Vehicles/,"[u'vehicles', u'fire', u'hazard', u'alert']",Arctic Cat Recalls Off-Highway Utility Vehicles Due to Fuel Leak and Fire Hazard (Recall Alert)
